Id,label
fdc49576-702b-4029-8c38-62408aeff084,Water
f3b93777-320c-4f5f-ba19-a5a7c1cc2ef5,Fighting
a92fa2a4-c11c-4f4f-8bbb-a1353cfae774,Ground
345e3dce-0110-4375-af8a-5561a6c19e81,Normal
1d5745aa-159b-46d9-a3fe-629c01806c15,Poison
0fb6bf04-e5f5-4c9c-9051-da691f4eb5e1,Poison
2be38cf3-9e07-4b4d-9628-00f6b0f0207e,Normal
ff76cde1-351e-495b-b35b-aaa54df4320a,Poison
ac4eb000-02f7-4fdf-9767-47460e389698,Water
e210f66d-0054-4734-90dd-12e222974f0f,Normal
9fa4c738-3fe5-43e6-81f5-0c1dda46d4da,Rock
d9746a62-248a-4338-ba7a-75c14ab852ac,Normal
1f93235e-197e-4eb1-9a1b-c757ce8b1f86,Water
c8b2e8aa-c382-4c10-95b3-d4da851c7a9b,Bug
1f04ad6f-ed29-4c83-8d64-f3d451e40bc7,Poison
6c51148d-7968-4bca-8603-87677083e67d,Water
948d4097-1184-44c4-96c0-bdac5bf97277,Grass
2645f0fc-3fa7-431d-a470-d08a94760c11,Water
ea556f18-965a-44ed-a44b-2d52e925166e,Bug
64187790-b909-459f-8701-3f0e6e9bc36e,Bug
14c6dc78-fcf2-474a-97ad-6e0c6718b608,Ground
815996b2-876f-478f-8afd-237f34e22dd7,Grass
fc3b1d1d-594f-4c36-bbb2-821efc246bc5,Normal
a3887dcb-8daa-4cae-924d-d7cac470c9f7,Fighting
001a5a8f-71e3-4788-b962-d2dfe548f71c,Fighting
58d0615a-fb33-4475-8e98-2cb8f1a700b0,Normal
6e921722-e008-47a3-85e9-9d65668b5802,Bug
72a9190b-b29a-4ace-9dc8-ad8256b440d9,Water
759792af-4379-4cf1-a607-ced8b5a8817d,Water
5f78aa4a-83a8-4700-bc17-9ea27b474eb0,Rock
cb629e17-edee-4cb9-b78a-dc8b15e7e9bc,Bug
a3fb0fbf-7714-4db5-8e5d-54f0d446cded,Grass
aa90a037-9198-451c-8847-7eec71a2e8e8,Rock
2de4d15c-ac0b-4bd6-96ea-5e0c38bc23e5,Fire
ff6d4556-d96e-416c-9cbc-a27b1c6cb5e5,Water
7183d4da-be74-4ee4-b762-f744a126ed25,Fire
0a551921-c188-42e4-98dd-12bc987ef277,Normal
de72c7f2-227c-40fb-a7c9-f03a37519e86,Fighting
b222f93f-14f8-40d8-b4d9-bf960b747631,Rock
4dc97071-60a3-4dee-ab15-e8279aa8c1b9,Grass
dcd7f742-b363-4b19-9bca-940de1c06b13,Poison
d2d55801-5a3b-44ca-92ba-a065701a5efd,Water
9eeb51f2-af6d-44f3-a2e6-ce2511cd117a,Fire
387a0a90-848b-4818-a078-0394cb0af934,Poison
f31488f1-edbb-48ff-9293-968d010e939a,Fire
70af1706-6d5d-4a8e-bb4e-f7219042a8a8,Poison
d632bd0c-a339-4bfa-b213-d276ce29c152,Fire
61f60b63-9e77-4fdb-a8fc-e988c4c428ee,Rock
3333c0a2-d8e0-496d-b3e2-7cb4430e8fe4,Water
8a686014-5bdf-4516-abd9-a3e542d6bb68,Fighting
81a7cddd-5c52-4ca6-b58c-ab0fca180494,Water
d27dc9c8-d9a3-4686-9b54-cf541edd0e72,Normal
2f8619a6-38a7-4b34-8678-16595d76bf3a,Bug
6e18669a-6f55-4909-bd8f-3a1ab3b6428c,Normal
f3014e67-ee8f-4c61-bf99-8909f0959ec3,Ground
b9bf4f1f-e8af-4496-b12c-f623f3f10c9f,Water
4367552d-0c80-4611-9f2f-902351a00619,Normal
187ffbfe-7cdf-4eed-b727-dfa99efd49f5,Bug
b3c8afdb-675a-49f5-aca8-7cef278160b8,Fire
29edf2d0-1a27-4c4a-9535-2fc02a338a3c,Poison
7025972c-a7a4-42d1-b931-893b31dd2e11,Water
db86a9d3-67bf-4b85-ad6b-dd66f7afa160,Normal
d7b887d7-4467-4c0b-aac8-c4ea970eb769,Grass
4acf279c-2578-4c36-aa62-2429336328d6,Poison
7bdad98e-9d92-4ac3-a5fc-33114cb68417,Water
a2a35be9-a460-4197-84e0-99dcec606b0a,Grass
16772385-ac5a-4579-94d3-c5c67c33ca89,Rock
59f6ad8d-302f-4310-a571-c5fb5193651d,Water
00f9e4ad-e226-420b-9838-295e50ef3d49,Water
ac9eb36a-d166-4234-bb28-be53952ec966,Water
c4e3e991-059e-4ed3-8eb2-cdc0d673c304,Water
1a918067-ea49-469f-9c4c-2ba77dfc2d57,Fire
7d46ea67-bd2c-46f6-a7fe-fddb0b00cba1,Ground
